,news_title,comment_url
0,緊急事態宣言“３月７日まで延長”で調整,https://headlines.yahoo.co.jp/cm/main?d=20210130-00000354-nnn-pol
1,新型コロナ 東京都で新たに769人の感染確認,https://headlines.yahoo.co.jp/cm/main?d=20210130-00237817-fnnprimev-soci
2,【#許すなわいせつ教員】「バレたらヤバイな」「かわいいで」女子生徒に危険なSNSメッセージ…調査進まぬ市教委に不信感,https://headlines.yahoo.co.jp/cm/main?d=20210130-00010001-yomt-soci
3,論文不正、先進医療の臨床研究を中止　国循・阪大が発表,https://headlines.yahoo.co.jp/cm/main?d=20210130-00000025-asahi-soci
4,"<selenium.webdriver.remote.webelement.WebElement (session=""8599727572cb4697ab7a97b82c02cea7"", element=""7bc09b48-dd05-4bff-88cd-500f2ea578a0"")>",This news page have no comment.
5,楽天復帰の田中将大、東京五輪に意欲「出たい。金メダルを取りたいと思っている」,https://headlines.yahoo.co.jp/cm/main?d=20210130-01037206-fullcount-base
6,楽天・石井一久監督　「特別な選手ですが、特別扱いはしないと決めている」　マー君楽天復帰会見,https://headlines.yahoo.co.jp/cm/main?d=20210130-00000163-spnannex-base
7,キンコン西野　吉本興業退社を報告「卒業」円満退社を強調「お互いプラスに」「普通に仲良し」継続の仕事も,https://headlines.yahoo.co.jp/cm/main?d=20210130-00000170-spnannex-ent
