,news_title,comment_url
0,首相、今夕に緊急事態宣言　1都3県、2月7日まで,https://headlines.yahoo.co.jp/cm/main?d=20210107-00000061-kyodonews-pol
1,〈独自〉緊急事態宣言、期間途中の解除も　きょう発令決定,https://headlines.yahoo.co.jp/cm/main?d=20210107-00000523-san-pol
2,爆弾低気圧で冬の嵐に　北日本～西日本で大雪・猛吹雪に警戒,https://headlines.yahoo.co.jp/cm/main?d=20210107-00021441-weather-soci
3,コロナで解雇、8万人超に　緊急事態宣言で急増も、厚労省,https://headlines.yahoo.co.jp/cm/main?d=20210107-00000059-kyodonews-soci
4,母親の子宮頸（けい）がんが出産時に羊水に混入し、誕生直後の赤ちゃんが初めて泣いた際にこの羊水を吸い込んで肺がんを発症した例が見つかった。国立がん研究センターなどの研究チームが世界初の例として7日発表した。論文は米医学誌ニューイングランド・ジャーナル・オブ・メディシン電子版に掲載された。,https://headlines.yahoo.co.jp/cm/main?d=20210107-00000016-jij-sctch
5,ヤクルト・村上がコロナ感染　３８・２度の発熱　青木ら５選手が濃厚接触者,https://headlines.yahoo.co.jp/cm/main?d=20210107-00000047-dal-base
6,優勝候補・東山が棄権　チームに発熱者／春高バレー,https://headlines.yahoo.co.jp/cm/main?d=20210107-00000530-sanspo-spo
7,ミラクルひかる、崩したものまねを披露するのは「自分が生き延びるため」 芸のバランスと苦悩を語る,https://headlines.yahoo.co.jp/cm/main?d=20210107-00000311-oric-ent
