,news_title,comment_url
0,【速報】新型コロナウイルス 重症者が過去最多の1001人 17日連続で前日上回る,https://headlines.yahoo.co.jp/cm/main?d=20210119-00232877-fnnprimev-soci
1,コロナ特措法、自民了承へ　政府、22日に国会提出,https://headlines.yahoo.co.jp/cm/main?d=20210119-00000037-kyodonews-pol
2,ワクチン接種 16歳以上の方向　政府が最終調整,https://headlines.yahoo.co.jp/cm/main?d=20210119-00232812-fnn-pol
3,"<selenium.webdriver.remote.webelement.WebElement (session=""cfa7e61bf6b32e6d122153e4a9667560"", element=""e7a28253-4a65-4930-b310-a7abb828cdac"")>",This news page have no comment.
4,【独自】鼻出しマスクで大学入学共通テスト失格の男（49） トイレに立てこもり現行犯逮捕,https://headlines.yahoo.co.jp/cm/main?d=20210119-00232796-fnn-soci
5,新型コロナで需要蒸発、ホテル苦渋の閉館　五輪への期待が一転し宿泊激減,https://headlines.yahoo.co.jp/cm/main?d=20210119-00010005-chugoku-soci
6,なぜクルマの「納車式」激減？ 新車購入時のお祝い事が減少している理由とは,https://headlines.yahoo.co.jp/cm/main?d=20210119-00336563-kurumans-bus_all
7,大学生には響かなかった…「テレビに出られなくてもいい」という覚悟　たかまつななさんが感じた〝断絶〟,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000002-withnews-ent
