,news_title,comment_url
0,厚労相、日中含め外出の自粛要請　「昼間騒いでよいわけない」,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000056-kyodonews-soci
1,菅首相、ビル・ゲイツ氏と電話会談　五輪「必ずやり切る」,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000043-jij-pol
2,河野氏、「虚偽テレワーク」処分　勤務者と上司対象,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000072-kyodonews-pol
3,英政府のホイッティ首席医務官は、新型コロナウイルスのパンデミック（世界的大流行）について、同国で今後数週間が最悪の期間になるという見方を示した。,https://headlines.yahoo.co.jp/cm/main?d=20210112-00010002-reutv-int
4,「僕はゲイ」性と信仰どちらも大事に生きる　日本初　同性愛を公表し牧師になった男性,https://headlines.yahoo.co.jp/cm/main?d=20210112-00691319-okinawat-oki
5,性的画像問題「全力で守ってあげて」　　バレーの大山加奈さん　連続インタビュー,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000004-yonnana-soci
6,映画『銀魂』、V12『鬼滅の刃』抑え動員1位　3ヶ月ぶりにランキング首位交代,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000344-oric-ent
7,袴田吉彦「ダウンタウンさんには感謝しかない」不倫自粛と『笑ってはいけない』出演秘話,https://headlines.yahoo.co.jp/cm/articlemain?d=20210112-00010003-flash-ent
