,news_title,comment_url
0,菅首相、緊急事態宣言の関西追加を表明　愛知・岐阜も検討、2月7日まで,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000039-jij-pol
1,厚労相、日中含め外出の自粛要請　「昼間騒いでよいわけない」,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000056-kyodonews-soci
2,宣言下の連休明け、通勤客まばら　「在宅難しい」の声も,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000019-asahi-soci
3,大阪市で今季初の積雪観測　近畿地方の広い範囲でも雪,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000024-asahi-soci
4,"<selenium.webdriver.remote.webelement.WebElement (session=""1ffebd9620d2c6c355334a1a06b21000"", element=""d6860016-fc7b-4798-9a24-c4a4d90c7ee6"")>",This news page have no comment.
5,プロ野球キャンプイン１週間延期も　12日会議で検討,https://headlines.yahoo.co.jp/cm/main?d=20210112-31110846-nksports-base
6,性的画像問題「全力で守ってあげて」　　バレーの大山加奈さん　連続インタビュー,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000004-yonnana-soci
7,YouTubeスタッフが語る芸人・宮迫博之の心情「宮迫さんが輝くのは『テレビに戻る＝蛍原さんの横に戻る』こと」,https://headlines.yahoo.co.jp/cm/main?d=20210112-00000309-oric-ent
