,news_title,comment_url
0,林家こん平さん死去　７７歳「笑点」で人気「１、２、３、チャラ～ン」,https://headlines.yahoo.co.jp/cm/main?d=20201221-12210086-sph-ent
1,コロナ変異種、国内未確認　加藤官房長官,https://headlines.yahoo.co.jp/cm/main?d=20201221-00000053-jij-pol
2,東京で新たに392人感染　月曜日では過去最多,https://headlines.yahoo.co.jp/cm/main?d=20201221-00000033-asahi-sctch
3,案里被告の当選無効求める連座訴訟起こす　秘書の有罪判決確定受け広島高検,https://headlines.yahoo.co.jp/cm/main?d=20201221-00010006-chugoku-l34
4,学食、コロナ禍で存続危機　慶応「山食」支援訴え　「調理人雇えない」大学も,https://headlines.yahoo.co.jp/cm/main?d=20201221-00000062-jij-soci
5,殺処分のミンク400万匹掘り起こしへ 環境汚染懸念 デンマーク,https://headlines.yahoo.co.jp/cm/main?d=20201221-00000005-jij_afp-int
6,教室で防寒着ダメ？コロナ対策で真冬も窓全開…凍える生徒,https://headlines.yahoo.co.jp/cm/main?d=20201221-00010000-nishinp-soci
7,宮崎大輔、離婚成立を認めた！ “暴行逮捕”騒動の13歳下恋人と「今も一緒に住んでます」,https://headlines.yahoo.co.jp/cm/articlemain?d=20201221-00010006-flash-peo
