,news_title,comment_url
0,東京で新たに392人感染　月曜日では過去最多,https://headlines.yahoo.co.jp/cm/main?d=20201221-00000033-asahi-sctch
1,西村氏と尾身会長が臨時会見へ　6時からコロナ対応で,https://headlines.yahoo.co.jp/cm/main?d=20201221-00000095-kyodonews-soci
2,案里被告の当選無効求める連座訴訟起こす　秘書の有罪判決確定受け広島高検,https://headlines.yahoo.co.jp/cm/main?d=20201221-00010006-chugoku-l34
3,漁船から転落　１人死亡・１人行方不明　福島海上保安部などが捜索続ける＜福島県・相馬沖＞,https://headlines.yahoo.co.jp/cm/main?d=20201221-00000001-ftv-l07
4,「GoToトラベル対応でもう限界」ボーナスゼロ、相次ぐ退職。振り回されるホテル、社員が語る過酷な内情,https://headlines.yahoo.co.jp/cm/main?d=20201221-00000005-binsiderl-soci
5,学食、コロナ禍で存続危機　慶応「山食」支援訴え　「調理人雇えない」大学も,https://headlines.yahoo.co.jp/cm/main?d=20201221-00000062-jij-soci
6,宮崎大輔、離婚成立を認めた！ “暴行逮捕”騒動の13歳下恋人と「今も一緒に住んでます」,https://headlines.yahoo.co.jp/cm/articlemain?d=20201221-00010006-flash-peo
7,林家こん平さん死去　７７歳「笑点」で人気「１、２、３、チャラ～ン」,https://headlines.yahoo.co.jp/cm/main?d=20201221-12210086-sph-ent
