,news_title,comment_url
0,【17日の天気】日本海側さらに積雪増えるおそれ　東京も今季初の氷点下の冷え込みに　太平洋側は冬晴れで空気乾燥,https://headlines.yahoo.co.jp/cm/main?d=20201217-00010001-wmap-soci
1,大雪の関越道で車が立ち往生　「生きるか死ぬかの思い」,https://headlines.yahoo.co.jp/cm/main?d=20201217-00000016-asahi-soci
2,ファイザー製ワクチン、米でアレルギー反応1件　英症例に類似,https://headlines.yahoo.co.jp/cm/main?d=20201217-00000009-reut-asia
3,山梨県がＧｏＴｏ代替事業　県民限定で宿泊最大５割引,https://headlines.yahoo.co.jp/cm/main?d=20201217-00000506-san-hlth
4,"<selenium.webdriver.remote.webelement.WebElement (session=""661348abba895c88ad1fec941298684d"", element=""2a50a800-43c9-48af-b8cd-e5e8498fed77"")>",This news page have no comment.
5,"<selenium.webdriver.remote.webelement.WebElement (session=""661348abba895c88ad1fec941298684d"", element=""9e2341af-580b-4299-a3b5-b3e97b9242fe"")>",This news page have no comment.
6,徳島、福岡が決めたJ1昇格争いにあった壮絶ドラマ…長崎に突きつけられた残酷な結末,https://headlines.yahoo.co.jp/cm/main?d=20201217-00010000-wordleafs-socc
7,ユッキーナ「自伝」出版計画　7月電撃引退も…“脱芸能人インフルエンサー”目指す,https://headlines.yahoo.co.jp/cm/main?d=20201217-00000120-spnannex-ent
