,news_title,comment_url
0,【独自】緊急事態宣言 延長の意向　首相 きょうにも表明,https://headlines.yahoo.co.jp/cm/main?d=20210201-00238210-fnn-pol
1,東京都によると、1日に確認された新型コロナウイルスの感染者は393人だった。重症者は前日から7人減って133人となった。,https://headlines.yahoo.co.jp/cm/main?d=20210201-00010005-abemav-soci
2,"<selenium.webdriver.remote.webelement.WebElement (session=""a82c29e96799257128b067687c12a05a"", element=""28553042-827a-41ec-b211-610194335c7a"")>",This news page have no comment.
3,"<selenium.webdriver.remote.webelement.WebElement (session=""a82c29e96799257128b067687c12a05a"", element=""b583c1a2-24fb-4177-bef7-82fa01a7fb6f"")>",This news page have no comment.
4,自民　松本純氏・田野瀬氏・大塚氏が離党,https://headlines.yahoo.co.jp/cm/main?d=20210201-00000364-nnn-pol
5,三重大病院…不祥事で麻酔科医一斉退職　背景にパワハラ「今辞めたら共犯者」,https://headlines.yahoo.co.jp/cm/main?d=20210201-00020354-cbcv-soci
6,日本ハム斎藤佑樹　楽天復帰マー君への思い語る「良いニュース」「戦えるステージに」,https://headlines.yahoo.co.jp/cm/main?d=20210201-00000070-dal-base
7,脳出血で治療中の清原翔が病状報告、リハビリに専念　「話せるようになった」証言も,https://headlines.yahoo.co.jp/cm/articlemain?d=20210201-00000012-pseven-ent
