,news_title,comment_url
0,緊急事態宣言、２月７日までの１カ月間に　百貨店にも時短要請,https://headlines.yahoo.co.jp/cm/main?d=20210106-00000562-san-pol
1,休業の「命令」違反業者に50万円以下の過料　特措法の政府原案が判明,https://headlines.yahoo.co.jp/cm/main?d=20210106-00000070-mai-pol
2,政府　コロナ医療機関に支援金上乗せの方針,https://headlines.yahoo.co.jp/cm/main?d=20210106-00000673-nnn-pol
3,中国、感染対策に集中と釈明　ＷＨＯ調査団入国できず,https://headlines.yahoo.co.jp/cm/main?d=20210106-00000586-san-cn
4,「国や医師会に憤りを感じる。このままでは医療崩壊だけでなく“居酒屋崩壊”だ」緊急事態宣言の再発出を前に、厚労省の元医系技官が訴え,https://headlines.yahoo.co.jp/cm/main?d=20210106-00010011-abema-soci
5,なぜ？『鴨川が真っ赤に染まる』京都市南区で異変…市職員や警察も駆けつけて原因調査,https://headlines.yahoo.co.jp/cm/main?d=20210106-00036514-mbsnewsv-l26
6,ラッパーのZeebra　コロナ陽性　軽症で「しばらくの間自宅療養となりました」,https://headlines.yahoo.co.jp/cm/main?d=20210106-00000227-spnannex-ent
7,宮野真守　トップ声優から、枠にとらわれないエンターテイナーへ,https://headlines.yahoo.co.jp/cm/main?d=20210106-00003100-fujinjp-ent
