,news_title,comment_url
0,「ワクチン接種に全力尽くす」　河野氏が会見で抱負　輸送や会場設定など担当,https://headlines.yahoo.co.jp/cm/main?d=20210119-00000025-mai-pol
1,【速報】沖縄、きょう夕に独自の緊急事態宣言発出へ　時短要請午後8時まで、出勤7割減など呼び掛け　２月７日まで,https://headlines.yahoo.co.jp/cm/main?d=20210119-00000007-ryu-oki
2,"<selenium.webdriver.remote.webelement.WebElement (session=""d5dc467aad0d04aca0b15309aa0bf56d"", element=""729b5ee0-f714-401d-b6ab-c5bcbc4aacfc"")>",This news page have no comment.
3,"<selenium.webdriver.remote.webelement.WebElement (session=""d5dc467aad0d04aca0b15309aa0bf56d"", element=""9bb8986a-a51c-4cc5-bc25-325f177ba298"")>",This news page have no comment.
4,【独自】鼻出しマスクで大学入学共通テスト失格の男（49） トイレに立てこもり現行犯逮捕,https://headlines.yahoo.co.jp/cm/main?d=20210119-00232796-fnn-soci
5,新型コロナで需要蒸発、ホテル苦渋の閉館　五輪への期待が一転し宿泊激減,https://headlines.yahoo.co.jp/cm/main?d=20210119-00010005-chugoku-soci
6,なぜクルマの「納車式」激減？ 新車購入時のお祝い事が減少している理由とは,https://headlines.yahoo.co.jp/cm/main?d=20210119-00336563-kurumans-bus_all
7,大関貴景勝が休場　綱取り場所も大不振…９日目までで２勝７敗,https://headlines.yahoo.co.jp/cm/main?d=20210119-00000035-dal-spo
