,news_title,comment_url
0,東京１２７８人の感染確認　過去２番目,https://headlines.yahoo.co.jp/cm/main?d=20210105-00000254-nnn-soci
1,首都圏で去年と比べて最大７割減、仕事始めの４日の人出,https://headlines.yahoo.co.jp/cm/main?d=20210105-00000019-jnn-soci
2,"<selenium.webdriver.remote.webelement.WebElement (session=""6f4a6ec074fe83dbda3827b75c35d4ae"", element=""a52f24b6-7acc-4807-b7f6-e2e475e2a41d"")>",This news page have no comment.
3,タクシー運転手、脳卒中か　意識失う、6人死傷事故　警視庁,https://headlines.yahoo.co.jp/cm/main?d=20210105-00000044-jij-soci
4,バイデン氏の大統領就任パレードは「バーチャル」に　感染対策、式も規模縮小,https://headlines.yahoo.co.jp/cm/main?d=20210105-00000024-mai-n_ame
5,死亡報道の元ボンドガール T・ロバーツさん、実際は入院中で重体,https://headlines.yahoo.co.jp/cm/main?d=20210105-00000009-jij_afp-ent
6,初場所、予定通り開催の方針　日本相撲協会,https://headlines.yahoo.co.jp/cm/main?d=20210105-00000318-nnn-spo
7,日本ハム斎藤佑樹「肘以外は全部元気」精力的に練習「悠長なことは言ってられない」【ＮＰＢ】,https://headlines.yahoo.co.jp/cm/main?d=20210105-00000072-dal-base
